nome,cpf,idade,endereco,bairro,estado,data
Nome Inválido,CPF Inválido,,vila stephany lima,vista do sol,PA,
Nome Inválido,CPF Inválido,72.0,"morro de cardoso, 47",marçola,SE,1952-03-01
Nome Inválido,CPF Inválido,,lagoa sarah azevedo,monsenhor messias,CE,
Nome Inválido,CPF Inválido,91.0,"loteamento oliveira, 29",camponesa 1ª seção,PE,1933-11-05
Nome Inválido,CPF Inválido,,"largo nascimento, 97",delta,PR,
Nome Inválido,CPF Inválido,,Endereço inválido,Desconhecido,Estado Inválido,
Nome Inválido,CPF Inválido,,"aeroporto de das neves, 7",vila sumaré,AL,
Nome Inválido,CPF Inválido,,"conjunto de cardoso, 5",vila minaslandia,PR,
Nome Inválido,CPF Inválido,80.0,viaduto cardoso,belmonte,RO,1944-06-11
Nome Inválido,CPF Inválido,,fazenda de barros,boa esperança,DF,
Nome Inválido,CPF Inválido,,colônia maria vitória moura,aarão reis,GO,
Nome Inválido,CPF Inválido,,avenida de cardoso,madre gertrudes,RN,
Nome Inválido,CPF Inválido,40.0,"lagoa leandro caldeira, 1",chácara leonina,MT,1984-02-07
Nome Inválido,CPF Inválido,,"esplanada de das neves, 5",andiroba,MG,
Nome Inválido,CPF Inválido,70.0,"praia eloah da mata, 95",cachoeirinha,AL,1954-04-02
Nome Inválido,CPF Inválido,,"recanto de santos, 155",jardim alvorada,PA,
Nome Inválido,CPF Inválido,,"praia carvalho, 7",vila nova,PA,
Nome Inválido,CPF Inválido,,"área de correia, 44",chácara leonina,AM,
Nome Inválido,CPF Inválido,71.0,"vale lorenzo almeida, 80",vila mantiqueira,PE,1953-05-02
Nome Inválido,CPF Inválido,,chácara isadora das neves,vila da amizade,PB,
Nome Inválido,CPF Inválido,,estação cunha,calafate,PR,
Nome Inválido,CPF Inválido,,"loteamento de lima, 1",vila primeiro de maio,MT,
Nome Inválido,CPF Inválido,,"alameda de gonçalves, 79",saudade,SP,
Nome Inválido,CPF Inválido,,"quadra bernardo ferreira, 85",marieta 1ª seção,PA,
Nome Inválido,CPF Inválido,,"rodovia alícia dias, 58",vila boa vista,RR,
Nome Inválido,CPF Inválido,37.0,"rua de cavalcanti, 8",vila da paz,AC,1987-09-04
Nome Inválido,CPF Inválido,,"esplanada de silva, 1",vila puc,GO,
Nome Inválido,CPF Inválido,26.0,"viaduto de freitas, 12",centro,RR,1998-04-10
Nome Inválido,CPF Inválido,66.0,"recanto valentina pinto, 52",satelite,PA,1958-03-06
Nome Inválido,CPF Inválido,59.0,"passarela de santos, 501",vila atila de paiva,ES,1965-03-06
Nome Inválido,CPF Inválido,,"morro lucca da rocha, 40",bandeirantes,CE,
Nome Inválido,CPF Inválido,,"praça de da paz, 5",conjunto jardim filadélfia,TO,
Nome Inválido,CPF Inválido,78.0,"fazenda joão felipe souza, 78",nova pampulha,SC,1947-01-12
Nome Inválido,CPF Inválido,,"rodovia cauê monteiro, 50",heliopolis,CE,
Nome Inválido,CPF Inválido,,"área de ferreira, 20",vila independencia 2ª seção,AC,
Nome Inválido,CPF Inválido,,"núcleo almeida, 41",vila são paulo,PB,
Nome Inválido,CPF Inválido,,"lagoa de vieira, 25",paquetá,AL,
Nome Inválido,CPF Inválido,,"trevo isaac araújo, 12",são bento,GO,
Nome Inválido,CPF Inválido,,"conjunto da luz, 6",chácara leonina,SC,
Nome Inválido,CPF Inválido,80.0,"ladeira de rodrigues, 58",vila são francisco,ES,1944-07-05
Nome Inválido,CPF Inválido,,"jardim de nascimento, 7",engenho nogueira,RS,
Nome Inválido,CPF Inválido,,"quadra de da cruz, 42",vila jardim montanhes,PE,
Nome Inválido,CPF Inválido,48.0,"conjunto de da cruz, 1",mariano de abreu,RJ,1976-09-05
Nome Inválido,CPF Inválido,,"colônia francisco campos, 7",vila betânia,SC,
Nome Inválido,CPF Inválido,72.0,largo de barbosa,vila nova gameleira 1ª seção,AL,1953-01-11
Nome Inválido,CPF Inválido,,aeroporto rezende,santo antônio,SP,
Nome Inválido,CPF Inválido,,"campo de pinto, 72",santana do cafezal,PI,
Nome Inválido,CPF Inválido,80.0,"setor de ferreira, 742",vila antena,RR,1944-10-10
Nome Inválido,CPF Inválido,,"ladeira de sales, 15",vila são francisco,DF,
Nome Inválido,CPF Inválido,97.0,ladeira de teixeira,são geraldo,PB,1927-11-07
Nome Inválido,CPF Inválido,28.0,"aeroporto duarte, 9",funcionários,ES,1996-11-02
Nome Inválido,CPF Inválido,,"trecho de martins, 51",vila santa monica 1ª seção,PR,
Nome Inválido,CPF Inválido,,"vila alexia viana, 87",jardim alvorada,PA,
Nome Inválido,CPF Inválido,53.0,"morro melo, 463",grajaú,RO,1971-08-03
Nome Inválido,CPF Inválido,,"residencial de aragão, 65",planalto,RN,
Nome Inválido,CPF Inválido,40.0,"vereda kamilly da rosa, 80",são geraldo,SC,1984-06-06
Nome Inválido,CPF Inválido,,"morro davi luiz correia, 38",vila são paulo,CE,
Nome Inválido,CPF Inválido,,"distrito ana laura aragão, 90",jardim do vale,MA,
Nome Inválido,CPF Inválido,,"favela gonçalves, 32",cônego pinheiro 1ª seção,PR,
Nome Inválido,CPF Inválido,,"viela da paz, 92",serra,MT,
Nome Inválido,CPF Inválido,20.0,"loteamento emanuelly sales, 135",leticia,SP,2004-11-09
Nome Inválido,CPF Inválido,46.0,"favela oliveira, 67",vila copacabana,PR,1978-03-02
Nome Inválido,CPF Inválido,77.0,"condomínio campos, 38",dom bosco,SP,1947-10-08
Nome Inválido,CPF Inválido,28.0,"estação milena silva, 549",bairro das indústrias ii,PE,1996-11-01
Nome Inválido,CPF Inválido,,"feira alice ramos, 3",são joão batista,PE,
Nome Inválido,CPF Inválido,,"passarela nogueira, 8",castelo,PI,
Nome Inválido,CPF Inválido,,"campo campos, 82",são pedro,MA,
Nome Inválido,CPF Inválido,20.0,"jardim beatriz farias, 11",acaba mundo,AL,2005-01-09
Nome Inválido,CPF Inválido,96.0,lagoa cavalcanti,savassi,PE,1928-05-01
Nome Inválido,CPF Inválido,,"rua sales, 4",universo,SE,
Nome Inválido,CPF Inválido,66.0,"viaduto thales costela, 23",mala e cuia,BA,1958-05-03
Nome Inválido,CPF Inválido,,"distrito maria moraes, 9",vila paris,PR,
Nome Inválido,CPF Inválido,,"esplanada de moura, 95",boa viagem,MA,
Nome Inválido,CPF Inválido,,"viaduto de peixoto, 16",inconfidência,CE,
Nome Inválido,CPF Inválido,,"condomínio leandro da mota, 20",jatobá,TO,
Nome Inválido,CPF Inválido,,trevo carvalho,vila paraíso,RN,
Nome Inválido,CPF Inválido,90.0,morro de duarte,pindorama,RS,1934-08-12
Nome Inválido,CPF Inválido,42.0,"praia ana carolina correia, 11",santa sofia,RO,1982-08-07
Nome Inválido,CPF Inválido,,"rodovia de fogaça, 96",lajedo,RS,
Nome Inválido,CPF Inválido,,"rua duarte, 85",vila real 1ª seção,AC,
Nome Inválido,CPF Inválido,69.0,"sítio mariana almeida, 86",carlos prates,PR,1955-08-10
Nome Inválido,CPF Inválido,48.0,"aeroporto da paz, 54",vila são dimas,PR,1976-04-08
Nome Inválido,CPF Inválido,,"praia nascimento, 541",senhor dos passos,PA,
Nome Inválido,CPF Inválido,,"distrito de cardoso, 24",flamengo,PI,
Nome Inválido,CPF Inválido,,"vale de vieira, 67",suzana,PA,
Nome Inválido,CPF Inválido,,"trecho brenda ferreira, 25",lagoinha,RJ,
Nome Inválido,CPF Inválido,76.0,"avenida de santos, 89",são pedro,MS,1948-12-03
Nome Inválido,CPF Inválido,,"loteamento oliveira, 12",vila da ária,AM,
Nome Inválido,CPF Inválido,21.0,"vila viana, 68",nova cintra,AM,2003-07-01
Nome Inválido,CPF Inválido,,"passarela jesus, 34",vila jardim montanhes,PB,
Nome Inválido,CPF Inválido,62.0,viaduto caldeira,vila nova paraíso,PE,1962-09-11
Nome Inválido,CPF Inválido,47.0,"sítio aragão, 73",aguas claras,RJ,1977-12-01
Nome Inválido,CPF Inválido,19.0,área gabriela nascimento,ermelinda,RR,2005-08-12
Nome Inválido,CPF Inválido,,"estrada agatha correia, 79",xodo-marize,TO,
Nome Inválido,CPF Inválido,,"pátio ribeiro, 33",vila oeste,MS,
Nome Inválido,CPF Inválido,61.0,"residencial rebeca da paz, 43",santa inês,SC,1963-11-01
Nome Inválido,CPF Inválido,,"aeroporto moura, 81",salgado filho,SP,
Nome Inválido,CPF Inválido,,"parque mariane araújo, 1",flamengo,RO,
Nome Inválido,CPF Inválido,,"estrada de carvalho, 309",funcionários,DF,
Nome Inválido,CPF Inválido,,"via da cunha, 11",sport club,TO,
Nome Inválido,CPF Inválido,,"rodovia agatha cavalcanti, 27",santo antônio,AP,
Nome Inválido,CPF Inválido,86.0,praça raul pires,maria virgínia,TO,1938-06-04
Nome Inválido,CPF Inválido,,vila farias,braúnas,SE,
Nome Inválido,CPF Inválido,,"núcleo maria luiza novaes, 100",xangri-lá,RJ,
Nome Inválido,CPF Inválido,,"esplanada de da cruz, 73",eymard,PE,
Nome Inválido,CPF Inválido,,"jardim ana carolina da mota, 6",vila petropolis,AP,
Nome Inválido,CPF Inválido,39.0,"vereda de costela, 27",vila de sá,MG,1985-05-10
Nome Inválido,CPF Inválido,42.0,"trevo manuela jesus, 927",ipe,SC,1982-04-09
Nome Inválido,CPF Inválido,,"chácara cardoso, 14",vila aeroporto,RN,
Nome Inválido,CPF Inválido,,"praça de oliveira, 35",conjunto santa maria,RN,
Nome Inválido,CPF Inválido,48.0,"residencial luigi duarte, 6",manacas,SC,1976-07-11
Nome Inválido,CPF Inválido,,"núcleo de ferreira, 77",lagoa,PR,
Nome Inválido,CPF Inválido,,"área de fernandes, 37",vila são dimas,MT,
Nome Inválido,CPF Inválido,,"loteamento porto, 4",vila santo antônio,SE,
Nome Inválido,CPF Inválido,,"área de ribeiro, 688",vila vista alegre,PR,
Nome Inválido,CPF Inválido,69.0,"pátio carlos eduardo azevedo, 76",havaí,RO,1955-11-09
Nome Inválido,CPF Inválido,84.0,"quadra almeida, 83",paquetá,CE,1940-09-01
Nome Inválido,CPF Inválido,50.0,"feira almeida, 72",vila são dimas,RJ,1974-09-01
Nome Inválido,CPF Inválido,,"viaduto de freitas, 46",novo glória,TO,
Nome Inválido,CPF Inválido,,"ladeira agatha almeida, 27",vila copacabana,RS,
Nome Inválido,CPF Inválido,,"residencial cavalcanti, 50",grota,MG,
Nome Inválido,CPF Inválido,,"colônia bryan costela, 404",suzana,SE,
Nome Inválido,CPF Inválido,45.0,"rodovia de moreira, 6",santo agostinho,AM,1979-03-02
Nome Inválido,CPF Inválido,,"esplanada oliveira, 654",serra,PR,
Nome Inválido,CPF Inválido,21.0,"rodovia thomas santos, 48",vila suzana segunda seção,AM,2003-03-03
Nome Inválido,CPF Inválido,,"vila milena porto, 70",marieta 1ª seção,RO,
Nome Inválido,CPF Inválido,,"lagoa rebeca novaes, 77",são jorge 1ª seção,SE,
Nome Inválido,CPF Inválido,,"núcleo sales, 59",novo das industrias,PE,
Nome Inválido,CPF Inválido,77.0,"feira sales, 82",coração eucarístico,AL,1947-08-07
Nome Inválido,CPF Inválido,,"colônia de azevedo, 22",centro,CE,
Nome Inválido,CPF Inválido,,alameda fernandes,são salvador,AM,
Nome Inválido,CPF Inválido,30.0,"estrada de castro, 671",trevo,PI,1994-09-10
Nome Inválido,CPF Inválido,,"trecho calebe ferreira, 902",funcionários,AL,
Nome Inválido,CPF Inválido,,"chácara joão gabriel correia, 983",vila batik,ES,
Nome Inválido,CPF Inválido,46.0,"lago maria cecília dias, 93",marçola,MG,1978-05-03
Nome Inválido,CPF Inválido,,via de santos,delta,DF,
Nome Inválido,CPF Inválido,,"viela mariana ferreira, 867",cidade jardim taquaril,AL,
Nome Inválido,CPF Inválido,34.0,"via caio carvalho, 11",inconfidência,AM,1990-08-09
Nome Inválido,CPF Inválido,,residencial joão guilherme campos,vila paraíso,PR,
Nome Inválido,CPF Inválido,,"vereda jesus, 420",monsenhor messias,DF,
Nome Inválido,CPF Inválido,82.0,"setor de da mata, 49",zilah sposito,PI,1942-08-09
Nome Inválido,CPF Inválido,,"rua lavínia da rosa, 9",pedreira padro lopes,TO,
Nome Inválido,CPF Inválido,93.0,"setor de santos, 49",itatiaia,SP,1932-01-09
Nome Inválido,CPF Inválido,,"parque thomas nogueira, 74",outro,AM,
Nome Inválido,CPF Inválido,,"viela de mendes, 45",jardim leblon,AM,
Nome Inválido,CPF Inválido,,"loteamento barbosa, 28",vila madre gertrudes 2ª seção,RO,
Nome Inválido,CPF Inválido,,"trevo barros, 87",chácara leonina,PR,
Nome Inválido,CPF Inválido,19.0,"lagoa isabella viana, 20",zilah sposito,PR,2005-09-09
Nome Inválido,CPF Inválido,,"fazenda rezende, 619",vila da paz,PI,
Nome Inválido,CPF Inválido,,praça souza,santa inês,SC,
Nome Inválido,CPF Inválido,,"praça almeida, 81",são bento,MT,
Nome Inválido,CPF Inválido,38.0,"vila martins, 7",casa branca,PA,1986-11-07
Nome Inválido,CPF Inválido,,"passarela de pires, 6",olhos d'água,MS,
Nome Inválido,CPF Inválido,,"aeroporto lavínia porto, 29",barreiro,RR,
Nome Inválido,CPF Inválido,,"parque de aragão, 76",cachoeirinha,ES,
Nome Inválido,CPF Inválido,43.0,"vale ramos, 60",vila santo antônio,RR,1981-06-08
Nome Inválido,CPF Inválido,,loteamento nascimento,engenho nogueira,PA,
Nome Inválido,CPF Inválido,,"esplanada joão guilherme barbosa, 39",barão homem de melo 2ª seção,AL,
Nome Inválido,CPF Inválido,,parque nascimento,vila minaslandia,AL,
Nome Inválido,CPF Inválido,76.0,"largo alves, 654",vera cruz,MS,1948-04-03
Nome Inválido,CPF Inválido,51.0,"trevo de azevedo, 36",vila barragem santa lúcia,PR,1973-05-01
Nome Inválido,CPF Inválido,27.0,"área de barros, 4",vila mangueiras,CE,1997-11-06
Nome Inválido,CPF Inválido,,"setor arthur barros, 58",vera cruz,MT,
Nome Inválido,CPF Inválido,,"largo gomes, 85",vila da paz,PB,
Nome Inválido,CPF Inválido,,"praia agatha cardoso, 1",lagoinha,PI,
Nome Inválido,CPF Inválido,78.0,"via novaes, 81",vila são paulo,MT,1946-10-07
Nome Inválido,CPF Inválido,89.0,"pátio castro, 51",vila trinta e um de março,ES,1935-11-10
Nome Inválido,CPF Inválido,54.0,"campo lima, 42",conjunto califórnia ii,PE,1970-05-09
Nome Inválido,CPF Inválido,,"esplanada rafael viana, 38",apolonia,MG,
Nome Inválido,CPF Inválido,20.0,"travessa beatriz fogaça, 47",fernão dias,RN,2004-06-03
Nome Inválido,CPF Inválido,86.0,"praça correia, 3",canadá,RJ,1938-06-09
Nome Inválido,CPF Inválido,60.0,"viela maria cecília viana, 44",vila copacabana,PA,1964-06-11
Nome Inválido,CPF Inválido,,"vila nina moura, 41",vila santo antônio,PA,
Nome Inválido,CPF Inválido,60.0,"núcleo carvalho, 87",piraja,PI,1964-07-04
Nome Inválido,CPF Inválido,,"rodovia de da luz, 710",saudade,RO,
Nome Inválido,CPF Inválido,,residencial beatriz lopes,ermelinda,RN,
Nome Inválido,CPF Inválido,,"aeroporto de ferreira, 9",senhor dos passos,AC,
Nome Inválido,CPF Inválido,,"chácara da luz, 27",bonfim,SP,
Nome Inválido,CPF Inválido,,núcleo cardoso,barreiro,TO,
Nome Inválido,CPF Inválido,,"residencial de ribeiro, 11",vila santa rosa,GO,
Nome Inválido,CPF Inválido,32.0,"aeroporto de campos, 63",são gabriel,PB,1992-03-02
Nome Inválido,CPF Inválido,,loteamento de rodrigues,santa cecilia,GO,
Nome Inválido,CPF Inválido,,"vale pinto, 70",esplanada,PI,
Nome Inválido,CPF Inválido,67.0,"vale costela, 5",parque são josé,SP,1958-01-10
Nome Inválido,CPF Inválido,,"jardim de barros, 111",caiçara - adelaide,TO,
Nome Inválido,CPF Inválido,76.0,"pátio da rocha, 793",vila rica,ES,1948-12-10
Nome Inválido,CPF Inválido,,"setor samuel porto, 99",bairro das indústrias ii,AM,
Nome Inválido,CPF Inválido,66.0,"via diego lima, 60",distrito industrial do jatoba,AP,1959-01-02
Nome Inválido,CPF Inválido,75.0,"área joão lucas lima, 997",são benedito,RO,1949-12-09
Nome Inválido,CPF Inválido,,"praia vitor gabriel cunha, 89",concórdia,SC,
Nome Inválido,CPF Inválido,58.0,viaduto juliana nogueira,trevo,BA,1966-05-11
Nome Inválido,CPF Inválido,,"passarela moura, 85",vila rica,DF,
Nome Inválido,CPF Inválido,,"condomínio de sales, 62",são bernardo,PB,
Nome Inválido,CPF Inválido,,"estação de ribeiro, 893",zilah sposito,SP,
Nome Inválido,CPF Inválido,82.0,Endereço inválido,Desconhecido,Estado Inválido,1942-02-12
Nome Inválido,CPF Inválido,,"estrada ana ramos, 10",novo tupi,GO,
Nome Inválido,CPF Inválido,61.0,"estação de azevedo, 639",vila antena montanhês,MS,1963-04-03
Nome Inválido,CPF Inválido,,"viaduto eduarda pinto, 76",pousada santo antonio,RS,
Nome Inválido,CPF Inválido,,morro lavínia almeida,esperança,AP,
Nome Inválido,CPF Inválido,,"travessa oliveira, 28",minas brasil,MA,
Nome Inválido,CPF Inválido,,"conjunto de souza, 842",petropolis,TO,
Nome Inválido,CPF Inválido,,"quadra de fogaça, 57",vila nova gameleira 3ª seção,PE,
Nome Inválido,CPF Inválido,71.0,"estrada de carvalho, 52",conjunto jardim filadélfia,GO,1954-01-09
Nome Inválido,CPF Inválido,30.0,"travessa melo, 5",biquinhas,ES,1994-07-08
Nome Inválido,CPF Inválido,,"largo de rodrigues, 19",campo alegre,DF,
Nome Inválido,CPF Inválido,,área nogueira,solimoes,PE,
Nome Inválido,CPF Inválido,,estação mendes,colégio batista,PR,
Nome Inválido,CPF Inválido,,"passarela de carvalho, 69",coração de jesus,SE,
Nome Inválido,CPF Inválido,,"morro de nascimento, 17",coqueiros,MG,
Nome Inválido,CPF Inválido,,"largo viana, 3",vila fumec,PE,
Nome Inválido,CPF Inválido,72.0,"loteamento de viana, 65",conjunto novo dom bosco,PI,1952-06-04
Nome Inválido,CPF Inválido,,"feira gustavo nascimento, 911",vila calafate,RS,
Nome Inválido,CPF Inválido,49.0,vereda cunha,jardim do vale,ES,1975-04-03
Nome Inválido,CPF Inválido,,"aeroporto augusto das neves, 847",maria helena,TO,
Nome Inválido,CPF Inválido,99.0,"feira fogaça, 914",vila dos anjos,PI,1925-09-04
Nome Inválido,CPF Inválido,,"estação moraes, 13",carmo,MG,
Nome Inválido,CPF Inválido,,"feira maria julia costela, 21",mariano de abreu,MG,
Nome Inválido,CPF Inválido,67.0,"loteamento de lima, 16",conjunto providencia,SE,1957-07-12
Nome Inválido,CPF Inválido,64.0,"rodovia pires, 57",vila de sá,SP,1960-06-02
Nome Inválido,CPF Inválido,,pátio carvalho,vila primeiro de maio,AP,
Nome Inválido,CPF Inválido,60.0,"parque melo, 462",vila cloris,GO,1964-09-02
Nome Inválido,CPF Inválido,,"alameda vitor gabriel lopes, 52",pedreira padro lopes,MS,
Nome Inválido,CPF Inválido,34.0,"campo de campos, 83",vila tirol,RN,1990-07-07
Nome Inválido,CPF Inválido,,"passarela oliveira, 48",santa monica,RO,
Nome Inválido,CPF Inválido,,"via letícia nunes, 280",monsenhor messias,AL,
Nome Inválido,CPF Inválido,,"travessa ribeiro, 92",pindorama,GO,
Nome Inválido,CPF Inválido,51.0,"conjunto eduardo da paz, 2",dom joaquim,AP,1973-09-12
Nome Inválido,CPF Inválido,38.0,"feira clara lima, 5",vila independencia 3ª seção,MA,1986-05-11
Nome Inválido,CPF Inválido,78.0,"núcleo de rocha, 9",sport club,SP,1946-09-02
Nome Inválido,CPF Inválido,,"vila de freitas, 80",santo antônio,AC,
Nome Inválido,CPF Inválido,47.0,"fazenda de lima, 95",vila das oliveiras,RJ,1977-11-12
Nome Inválido,CPF Inválido,,"ladeira caldeira, 5",vila paris,AC,
Nome Inválido,CPF Inválido,35.0,"travessa ana lívia da mata, 63",madri,ES,1989-02-02
Nome Inválido,CPF Inválido,88.0,"residencial costa, 9",cidade jardim taquaril,SE,1936-09-07
Nome Inválido,CPF Inválido,,"colônia monteiro, 49",europa,MT,
Nome Inválido,CPF Inválido,,"lagoa das neves, 36",marçola,BA,
Nome Inválido,CPF Inválido,52.0,"esplanada souza, 437",álvaro camargos,MG,1972-03-07
Nome Inválido,CPF Inválido,,"favela de carvalho, 28",confisco,RS,
Nome Inválido,CPF Inválido,,"praça caroline almeida, 19",conjunto bonsucesso,DF,
Nome Inválido,CPF Inválido,,"lagoa de fogaça, 92",pantanal,MG,
Nome Inválido,CPF Inválido,,"vale ana julia porto, 19",alto barroca,MG,
Nome Inválido,CPF Inválido,94.0,"residencial de cunha, 20",santana do cafezal,PB,1930-02-09
Nome Inválido,CPF Inválido,,"travessa lucca carvalho, 38",aeroporto,RO,
