nome,cpf,idade,data,endereco,estado
Nome Inválido,184.762.950-49 ,40,,"aeroporto de das neves, 7
                                                                                           vila sumaré
                                                                                           05152-623 correia das flores / al      ",PARANÁ
Nome Inválido,106.893.247-31 ,47,,"conjunto de cardoso, 5
                                                                                           vila minaslandia
                                                                                           42663-889 castro / pr                  ",RORAIMA
Nome Inválido,645.098.123-70 ,79,1944-06-11,"viaduto cardoso
                                                                                           belmonte
                                                                                           18780-365 monteiro do campo / ro       ",ALAGOAS
Nome Inválido,190.657.428-67 ,55,,"fazenda de barros
                                                                                           boa esperança
                                                                                           74227859 da costa / df                 ",AMAPÁ
Nome Inválido,438.765.902-56 ,21,,"colônia maria vitória moura
                                                                                           aarão reis
                                                                                           87984-967 rocha de minas / go          ",CEARÁ
Nome Inválido,830.679.415-00 ,42,,"avenida de cardoso
                                                                                           madre gertrudes
                                                                                           39614351 porto do amparo / rn          ",DISTRITO FEDERAL
Nome Inválido,218.305.764-53 ,39,1984-02-07,"lagoa leandro caldeira, 1
                                                                                           chácara leonina
                                                                                           51972-241 mendes / mt                  ",RORAIMA
Nome Inválido,237.984.561-19 ,86,,"esplanada de das neves, 5
                                                                                           andiroba
                                                                                           55857-900 moraes do amparo / mg        ",PERNAMBUCO
Nome Inválido,582.630.419-70 ,70,1954-04-02,"praia eloah da mata, 95
                                                                                           cachoeirinha
                                                                                           76620-467 melo / al                    ",AMAZONAS
Nome Inválido,               ,56,,"recanto de santos, 155
                                                                                           jardim alvorada
                                                                                           06498-281 pinto / pa                   ",MINAS GERAIS
Nome Inválido,426.753.091-25 ,61,,"praia carvalho, 7
                                                                                           vila nova
                                                                                           08272068 costela / pa                  ",MATO GROSSO DO SUL
Nome Inválido,907.143.856-20 ,22,,"área de correia, 44
                                                                                           chácara leonina
                                                                                           16210070 nunes do sul / am             ",RIO GRANDE DO NORTE
Nome Inválido,879.354.102-32 ,71,1953-05-02,"vale lorenzo almeida, 80
                                                                                           vila mantiqueira
                                                                                           39381-620 alves grande / pe            ",RIO GRANDE DO SUL
Nome Inválido,602.751.493-07 ,66,,"chácara isadora das neves
                                                                                           vila da amizade
                                                                                           25121623 ribeiro / pb                  ",RONDÔNIA
Nome Inválido,016.542.973-99 ,65,,"estação cunha
                                                                                           calafate
                                                                                           29389355 rocha de gonçalves / pr       ",SANTA CATARINA
Nome Inválido,079.186.425-11 ,47,,"loteamento de lima, 1
                                                                                           vila primeiro de maio
                                                                                           16602-243 vieira da mata / mt          ",MATO GROSSO DO SUL
Nome Inválido,839.561.470-57 ,74,,"alameda de gonçalves, 79
                                                                                           saudade
                                                                                           47129-674 dias / sp                    ",PARAÍBA
Nome Inválido,604.173.592-25 ,46,,"quadra bernardo ferreira, 85
                                                                                           marieta 1ª seção
                                                                                           48882-146 lima de barbosa / pa         ",ACRE
Nome Inválido,526.839.107-03 ,42,,"rodovia alícia dias, 58
                                                                                           vila boa vista
                                                                                           14088-768 campos de porto / rr         ",PARANÁ
Nome Inválido,862.953.107-02 ,36,1987-09-04,"rua de cavalcanti, 8
                                                                                           vila da paz
                                                                                           01240048 souza da serra / ac           ",ESPÍRITO SANTO
Nome Inválido,508.672.194-67 ,94,,"esplanada de silva, 1
                                                                                           vila puc
                                                                                           06033-930 alves de lopes / go          ",SANTA CATARINA
Nome Inválido,284.517.309-14 ,25,1998-04-10,"viaduto de freitas, 12
                                                                                           centro
                                                                                           41526-260 da cruz dos dourados / rr    ",SÃO PAULO
Nome Inválido,023.916.457-16 ,65,1958-03-06,"recanto valentina pinto, 52
                                                                                           satelite
                                                                                           97787-119 mendes de barbosa / pa       ",SÃO PAULO
Nome Inválido,519.304.678-93 ,58,1965-03-06,"passarela de santos, 501
                                                                                           vila atila de paiva
                                                                                           81047029 oliveira / es                 ",PARÁ
Nome Inválido,564.829.170-11 ,74,,"morro lucca da rocha, 40
                                                                                           bandeirantes
                                                                                           05301527 nascimento / ce               ",TOCANTINS
Nome Inválido,409.816.257-11 ,80,,"praça de da paz, 5
                                                                                           conjunto jardim filadélfia
                                                                                           17691-504 cavalcanti / to              ",MATO GROSSO
Nome Inválido,137.580.942-32 ,76,1947-01-12,"fazenda joão felipe souza, 78
                                                                                           nova pampulha
                                                                                           08184872 cunha / sc                    ",SERGIPE
Nome Inválido,367.189.054-10 ,91,,"rodovia cauê monteiro, 50
                                                                                           heliopolis
                                                                                           61521177 martins paulista / ce         ",RIO GRANDE DO NORTE
Nome Inválido,962.405.713-34 ,53,,"área de ferreira, 20
                                                                                           vila independencia 2ª seção
                                                                                           75695006 melo / ac                     ",MINAS GERAIS
Nome Inválido,409.157.683-48 ,95,,"núcleo almeida, 41
                                                                                           vila são paulo
                                                                                           63386-457 novaes / pb                  ",ALAGOAS
Nome Inválido,314.927.586-55 ,23,,"lagoa de vieira, 25
                                                                                           paquetá
                                                                                           66090560 pereira do campo / al         ",RORAIMA
Nome Inválido,               ,66,,"trevo isaac araújo, 12
                                                                                           são bento
                                                                                           93822188 melo do galho / go            ",AMAZONAS
Nome Inválido,942.816.507-76 ,55,,"conjunto da luz, 6
                                                                                           chácara leonina
                                                                                           95186702 silva / sc                    ",SÃO PAULO
Nome Inválido,217.439.856-73 ,79,1944-07-05,"ladeira de rodrigues, 58
                                                                                           vila são francisco
                                                                                           18153-240 da mata / es                 ",RONDÔNIA
Nome Inválido,523.976.081-03 ,59,,"jardim de nascimento, 7
                                                                                           engenho nogueira
                                                                                           72911-524 moreira do galho / rs        ",RIO DE JANEIRO
Nome Inválido,064.253.879-47 ,76,,"quadra de da cruz, 42
                                                                                           vila jardim montanhes
                                                                                           11782275 mendes / pe                   ",SERGIPE
Nome Inválido,642.397.018-13 ,47,1976-09-05,"conjunto de da cruz, 1
                                                                                           mariano de abreu
                                                                                           82687-160 azevedo de silva / rj        ",AMAZONAS
Nome Inválido,673.295.108-40 ,97,,"colônia francisco campos, 7
                                                                                           vila betânia
                                                                                           47223-561 da costa do galho / sc       ",BAHIA
Nome Inválido,643.978.150-20 ,70,1953-01-11,"largo de barbosa
                                                                                           vila nova gameleira 1ª seção
                                                                                           37778-485 lima / al                    ",RORAIMA
Nome Inválido,187.604.952-94 ,57,,"aeroporto rezende
                                                                                           santo antônio
                                                                                           22751419 melo de porto / sp            ",SANTA CATARINA
Nome Inválido,093.821.745-32 ,59,,"campo de pinto, 72
                                                                                           santana do cafezal
                                                                                           22684962 porto / pi                    ",SÃO PAULO
Nome Inválido,367.082.149-03 ,79,1944-10-10,"setor de ferreira, 742
                                                                                           vila antena
                                                                                           59176-949 santos / rr                  ",AMAZONAS
Nome Inválido,430.629.781-04 ,35,,"ladeira de sales, 15
                                                                                           vila são francisco
                                                                                           18447153 das neves / df                ",PARAÍBA
Nome Inválido,694.253.078-65 ,96,1927-11-07,"ladeira de teixeira
                                                                                           são geraldo
                                                                                           49881-890 rodrigues / pb               ",PIAUÍ
Nome Inválido,701.839.246-22 ,28,1996-11-02,"aeroporto duarte, 9
                                                                                           funcionários
                                                                                           49849669 silva do sul / es             ",AMAZONAS
Nome Inválido,498.357.160-48 ,37,,"trecho de martins, 51
                                                                                           vila santa monica 1ª seção
                                                                                           87398-775 nogueira alegre / pr         ",CEARÁ
Nome Inválido,742.053.618-07 ,42,,"vila alexia viana, 87
                                                                                           jardim alvorada
                                                                                           22732-445 moreira / pa                 ",RORAIMA
Nome Inválido,986.204.357-10 ,53,1971-08-03,"morro melo, 463
                                                                                           grajaú
                                                                                           18981-145 da conceição / ro            ",TOCANTINS
Nome Inválido,843.196.205-42 ,24,,"residencial de aragão, 65
                                                                                           planalto
                                                                                           81955-681 barbosa do sul / rn          ",GOIÁS
Nome Inválido,970.358.142-05 ,39,1984-06-06,"vereda kamilly da rosa, 80
                                                                                           são geraldo
                                                                                           58360617 castro / sc                   ",AMAPÁ
Nome Inválido,946.321.085-70 ,44,,"morro davi luiz correia, 38
                                                                                           vila são paulo
                                                                                           55361364 ferreira do galho / ce        ",RONDÔNIA
Nome Inválido,502.731.649-61 ,75,,"distrito ana laura aragão, 90
                                                                                           jardim do vale
                                                                                           37050371 barbosa / ma                  ",AMAZONAS
Nome Inválido,572.934.018-41 ,32,,"favela gonçalves, 32
                                                                                           cônego pinheiro 1ª seção
                                                                                           62579-612 da costa alegre / pr         ",RIO GRANDE DO NORTE
Nome Inválido,805.769.423-83 ,28,,"viela da paz, 92
                                                                                           serra
                                                                                           95443238 correia / mt                  ",SÃO PAULO
Nome Inválido,315.809.267-03 ,19,2004-11-09,"loteamento emanuelly sales, 135
                                                                                           leticia
                                                                                           56249-362 fernandes de peixoto / sp    ",ALAGOAS
Nome Inválido,261.730.548-17 ,46,1978-03-02,"favela oliveira, 67
                                                                                           vila copacabana
                                                                                           91636157 rezende / pr                  ",TOCANTINS
Nome Inválido,274.039.856-56 ,76,1947-10-08,"condomínio campos, 38
                                                                                           dom bosco
                                                                                           49718775 melo de minas / sp            ",AMAPÁ
Nome Inválido,936.457.180-01 ,28,1996-11-01,"estação milena silva, 549
                                                                                           bairro das indústrias ii
                                                                                           77860945 silva / pe                    ",MATO GROSSO
Nome Inválido,647.251.980-30 ,75,,"feira alice ramos, 3
                                                                                           são joão batista
                                                                                           84904729 campos paulista / pe          ",ACRE
Nome Inválido,248.513.096-51 ,64,,"passarela nogueira, 8
                                                                                           castelo
                                                                                           08422194 pires de barros / pi          ",
Nome Inválido,935.416.278-91 ,96,,"campo campos, 82
                                                                                           são pedro
                                                                                           10003961 da mata / ma                  ",MATO GROSSO DO SUL
